,ecologie,economie,education,immigration,sante,securite_defense,date
4290,0,0,1,0,0,0,2022-01-17 10:34:32+00:00
4289,0,0,0,0,0,1,2022-01-17 11:12:04+00:00
4288,1,0,0,0,0,0,2022-01-17 12:03:08+00:00
4287,0,0,0,0,0,1,2022-01-17 12:24:17+00:00
4286,0,0,0,0,1,0,2022-01-17 12:40:15+00:00
4285,1,0,0,0,0,0,2022-01-17 12:46:28+00:00
4284,0,0,0,0,0,1,2022-01-17 14:27:30+00:00
4283,0,0,1,0,0,0,2022-01-17 17:50:01+00:00
4282,1,0,0,0,0,0,2022-01-17 18:05:05+00:00
4281,0,0,1,0,0,0,2022-01-17 18:18:48+00:00
4280,1,0,0,0,0,0,2022-01-17 19:37:05+00:00
4279,0,0,1,0,0,0,2022-01-17 19:57:31+00:00
4278,0,1,0,0,0,0,2022-01-17 20:40:31+00:00
4277,1,0,0,0,0,0,2022-01-17 21:16:22+00:00
4276,0,1,0,0,0,0,2022-01-17 22:22:57+00:00
4275,0,1,0,0,0,0,2022-01-17 22:34:13+00:00
4274,0,0,1,0,0,0,2022-01-18 03:56:11+00:00
4273,1,0,0,0,0,0,2022-01-18 08:06:28+00:00
4272,0,0,1,0,0,0,2022-01-18 09:10:27+00:00
4271,0,0,0,0,0,1,2022-01-18 10:15:43+00:00
4270,0,0,1,0,0,0,2022-01-18 10:18:33+00:00
4269,1,0,0,0,0,0,2022-01-18 10:24:16+00:00
4268,0,1,0,0,0,0,2022-01-18 10:25:42+00:00
4267,0,1,0,0,0,0,2022-01-18 10:28:12+00:00
4266,0,0,1,0,0,0,2022-01-18 10:39:58+00:00
4265,1,0,0,0,0,0,2022-01-18 10:49:44+00:00
4264,0,0,1,0,0,0,2022-01-18 12:02:38+00:00
4263,0,0,1,0,0,0,2022-01-18 12:30:11+00:00
4262,1,0,0,0,0,0,2022-01-18 12:38:55+00:00
4261,0,1,0,0,0,0,2022-01-18 12:42:34+00:00
4260,0,0,0,0,0,1,2022-01-18 14:01:17+00:00
4259,0,0,0,0,0,1,2022-01-18 14:53:18+00:00
4258,0,0,0,0,0,1,2022-01-18 15:28:19+00:00
4257,0,1,0,0,0,0,2022-01-18 16:35:09+00:00
4256,1,0,0,0,0,0,2022-01-18 16:49:01+00:00
4255,0,0,1,0,0,0,2022-01-18 17:53:49+00:00
4254,0,1,0,0,0,0,2022-01-18 17:56:20+00:00
4253,0,0,1,0,0,0,2022-01-18 18:12:40+00:00
4252,1,0,0,0,0,0,2022-01-18 19:07:30+00:00
4251,1,0,0,0,0,0,2022-01-18 19:22:18+00:00
4250,0,0,1,0,0,0,2022-01-18 19:31:19+00:00
4249,1,0,0,0,0,0,2022-01-18 19:46:30+00:00
4248,1,0,0,0,0,0,2022-01-18 19:49:01+00:00
4247,0,0,0,0,0,1,2022-01-18 19:56:44+00:00
4246,1,0,0,0,0,0,2022-01-18 20:13:18+00:00
4245,0,0,0,0,0,1,2022-01-18 20:35:18+00:00
4244,0,1,0,0,0,0,2022-01-18 20:44:46+00:00
4243,1,0,0,0,0,0,2022-01-18 21:42:05+00:00
4242,0,0,1,0,0,0,2022-01-18 22:15:40+00:00
4241,1,0,0,0,0,0,2022-01-18 23:04:28+00:00
4240,0,0,1,0,0,0,2022-01-18 23:31:31+00:00
4239,1,0,0,0,0,0,2022-01-18 23:57:56+00:00
4238,0,0,0,0,1,0,2022-01-19 05:34:41+00:00
4237,0,0,1,0,0,0,2022-01-19 05:36:23+00:00
4236,0,1,0,0,0,0,2022-01-19 07:30:08+00:00
4235,0,1,0,0,0,0,2022-01-19 08:33:46+00:00
4234,0,1,0,0,0,0,2022-01-19 09:08:44+00:00
4233,0,1,0,0,0,0,2022-01-19 09:09:58+00:00
4232,0,1,0,0,0,0,2022-01-19 09:55:30+00:00
4231,1,0,0,0,0,0,2022-01-19 10:00:28+00:00
4230,1,0,0,0,0,0,2022-01-19 10:21:57+00:00
4229,0,0,1,0,0,0,2022-01-19 10:45:36+00:00
4228,1,0,0,0,0,0,2022-01-19 11:52:58+00:00
